record_id,status_code,created_at,updated_at,user_assigned_uuid,notes,demand,category
1,inactive,10/15/2020,11/17/2020,d28e46a4-cbf9-49ec-bdec-2528b59c576e,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",low,Truck
2,active,6/19/2021,1/17/2021,eb4ae833-22f3-42a6-a3ce-2d334bfff3a1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",high,Van
3,inactive,3/19/2020,5/8/2021,78f6e7cb-f353-4700-9a50-082e3899b2c6,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",high,Extra Large
4,retired,12/3/2021,7/12/2020,d667444a-0721-48f2-9c14-d1b9c426b979,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,high,Sport
5,active,6/25/2021,10/17/2021,2e3c88ed-8b6f-48e0-976e-1a93bf88c10e,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,high,Luxury
6,active,12/15/2021,5/8/2020,cdc38951-8e43-40fd-ae3b-6867e8c93b6f,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",low,Economical
7,inactive,2/17/2021,3/1/2020,87e0300f-1715-4b21-a94f-72c4d18ea10c,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,high,Extra Large
8,pending,1/6/2021,2/7/2020,5dbd3389-492c-4f3b-9856-6cfe9308f0f6,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,high,Sport
9,retired,4/22/2020,11/19/2020,135bddd9-03c0-44c5-95d3-5dcc7d9c4fa9,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,low,Van
10,pending,7/18/2021,1/15/2021,8b57ee83-5599-4af9-bd36-5c61d3cea01b,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,low,Economical
11,retired,3/16/2020,1/3/2020,91edfeb2-71ba-44da-a04d-cab4fe965b30,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,high,Truck
12,retired,2/9/2021,4/2/2020,21677f7c-9444-40d5-a34f-7cdf88f4aad8,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",low,Extra Large
13,active,7/25/2021,6/30/2021,145d28cd-5b8e-4abd-8d35-bf057554680f,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",low,Sport
14,inactive,6/14/2020,7/13/2021,55895ffa-67bd-4e68-b2fa-4388be32b3f8,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,medium,Luxury
15,pending,12/3/2020,9/14/2021,7e265d1e-2372-4a0b-9217-64d6ceaff03b,In congue. Etiam justo. Etiam pretium iaculis justo.,high,Van
16,inactive,5/27/2021,9/5/2021,b4a36e92-a17f-4dc4-9e8d-fb6bd3e7fdf8,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",low,Extra Large
17,inactive,2/20/2021,12/8/2021,f31095d2-0ec3-4a63-a1d7-9a4e4e64c4fc,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,medium,Luxury
18,retired,4/17/2020,7/6/2020,e89a4a33-7e44-4a55-bc97-faed79439301,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,medium,Truck
19,pending,2/14/2021,5/18/2021,06139128-21c6-4158-90f4-618339051811,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,high,Sport
20,inactive,5/18/2021,4/14/2021,1f3ca2b8-57a6-4413-b5d4-9e8f56194ff3,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,high,Luxury
21,retired,12/7/2020,2/26/2020,52ef675b-6531-48c0-b80a-522acd633e98,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",medium,Truck
22,retired,6/9/2021,5/27/2020,4803cdd9-0d7a-480c-a54a-543969a1e84d,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,high,Van
23,active,9/10/2020,1/12/2020,14c90fc9-5f72-4975-98c6-520339b4f032,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,medium,Truck
24,active,8/1/2020,10/15/2020,2dbc177b-e3ef-4b26-b1b8-1da517ccc169,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,low,Luxury
25,pending,7/30/2021,3/10/2021,0da7c1df-1c0f-432e-b075-bfd2cfa01180,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,high,Sport
26,inactive,9/12/2021,3/11/2020,aee233dd-ccde-4cf7-beb1-d519290ca50e,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,low,Sport
27,pending,8/10/2020,9/12/2020,ba4f151f-0f2b-4f2e-8213-eaa8b5c2f3bd,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",high,Truck
28,retired,8/28/2021,12/31/2020,27839816-3998-425d-b536-be1b0d4b41ad,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,low,Sport
29,retired,5/14/2020,1/27/2020,392ea647-ce64-45f9-938d-f6f58d73911a,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",low,Van
30,active,12/2/2021,4/8/2020,7b6fce75-1e21-4434-b0ef-3b4280eaf48b,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",high,Luxury
